"Feature ID","Area","Feature","User Story","Expected Behavior From Code","Source Files","Availability / Gate","Existing Coverage","Test Status","Error Log","Fix Status","Retest Status","Last Verified","Linear"
"IOS-001","Launch","Splash and route resolution","As a user opening Jovie, I want a branded launch state before the app resolves my auth route.","The app starts on SplashView, keeps a minimum launch dwell of about 350ms, then routes by LaunchMode and auth state.","apps/ios/Jovie/App/JovieApp.swift; apps/ios/Jovie/App/LaunchMode.swift; apps/ios/Jovie/App/AppState.swift; apps/ios/Jovie/Features/Splash/SplashView.swift","Always on","JovieUITests.testCinematicSplashLaunchShowsLoadingState; AppStateTests","Passed: pnpm run ios:test covered splash UI and AppState routing","None recorded","No issue found","Passed after JOV-3372 wrapper fix","2026-06-21","JOV-3372"
"IOS-002","Auth","Signed-out browser auth entry","As a signed-out creator, I want one clear browser sign-in path so auth completes through Clerk safely.","AuthScreen shows Continue in Browser, builds a PKCE auth URL, opens a browser session, and handles errors without native email or social-login clutter.","apps/ios/Jovie/Features/Auth/AuthScreen.swift; apps/ios/Jovie/App/MobileAuthReturn.swift; apps/ios/Jovie/App/RootView.swift; apps/ios/Jovie/Core/APIClient.swift","Always on when signed out","JovieUITests signed-out and auth-callback tests; MobileAuthFinalizationTests; APIClientTests","Passed: signed-out UI, PKCE URL, and callback harness covered by pnpm run ios:test","Live real-browser auth remains intentionally env-gated by JOVIE_IOS_REAL_BROWSER_AUTH","No product issue found","Passed for deterministic harness; live provider lane skipped by env","2026-06-21","JOV-3372"
"IOS-003","Auth","Native auth callback finalization","As a creator returning from browser auth, I want the app to exchange the callback once and land in the authenticated shell.","Callback state is deduped, provider errors show a safe message, successful codes exchange through the native auth API, and session tokens are stored for later launches.","apps/ios/Jovie/App/RootView.swift; apps/ios/Jovie/App/MobileAuthReturn.swift; apps/ios/Jovie/Core/MobileAuthFinalization.swift; apps/ios/Jovie/Core/NativeSessionTokenStore.swift","Always on for browser-auth launch modes","MobileAuthFinalizationTests; JovieUITests auth callback harness","Passed: auth callback success and provider-error UI covered by pnpm run ios:test","None recorded","No issue found","Passed after JOV-3372 wrapper fix","2026-06-21","JOV-3372"
"IOS-004","Profile","Mobile profile bootstrap and cache-first routing","As a signed-in creator, I want my profile screen to paint quickly and recover cleanly from offline or stale data.","AppState paints cached MobileMeResponse first, then revalidates /api/mobile/v1/me; ready routes to the app shell, needs_onboarding routes to setup, auth failures sign out, transport failures keep stale data offline, and the visible profile error Retry restores the dashboard.","apps/ios/Jovie/App/AppState.swift; apps/ios/Jovie/Core/MeRepository.swift; apps/ios/Jovie/Core/MeCache.swift; apps/ios/Jovie/Core/MobileMeResponse.swift; apps/ios/Jovie/Core/APIClient.swift; apps/ios/JovieUITests/JovieUITests.swift","Always on after auth","AppStateTests; MeRepositoryTests; MobileMeResponseTests; APIClientTests; JovieUITests.testProfileLoadErrorRetryRestoresDashboard","Passed: cache-first, ready, onboarding, auth-failure, offline recovery, and visible profile error retry coverage passed","Visible profile-load Retry was previously covered only at AppState unit level, not by deterministic UI behaviour","Added -ui-testing-profile-error launch mode plus UI and AppState retry assertions","Retest passed: AppStateTests suite and focused profile-error UI test succeeded","2026-06-22","JOV-3434"
"IOS-005","Onboarding","Needs-onboarding handoff","As a creator without a complete profile, I want a clear handoff to finish setup on web.","NeedsOnboardingView explains that setup must finish on jov.ie and opens continueOnWebURL; Chat remains unavailable here because the chat runtime requires a completed profile.","apps/ios/Jovie/Features/NeedsOnboarding/NeedsOnboardingView.swift; apps/ios/Jovie/App/RootView.swift; apps/web/lib/mobile/chat/turn-handler.ts","Always on for needs_onboarding profiles","JovieUITests.testNeedsOnboardingLaunchShowsContinueOnWeb; apps/web mobile chat profile-required path","Passed: needs-onboarding UI and chat profile-required web tests passed","None recorded","No issue found","Passed after JOV-3372 wrapper fix","2026-06-21","JOV-3372"
"IOS-006","Shell","Drawer navigation, swipe, and settings routing","As an authenticated creator, I want one native shell where Profile, Chat, and Settings behave predictably via a single left-drawer surface switcher.","AppShellView starts ready profiles on Profile unless a launch mode opens Chat, supports horizontal swipe between Profile and Chat when chat is enabled, and pushes Settings from the drawer/gear. The left drawer (AppShellLeftDrawer) is the sole surface switcher — the former bottom QR/sparkle pill was removed (JOV-3670); the Talk FAB is now a fixed shell-level bottom-trailing overlay, independent of drawer/tab state.","apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Features/AppShell/AppShellLeftDrawer.swift; apps/ios/Jovie/App/RootView.swift","Ready profiles expose Chat without rollout flags; needs_onboarding profiles keep Chat hidden","JovieUITests drawer-surface-switcher, swipe, draft preservation, Talk FAB, and settings tests","Passed: drawer-is-sole-switcher, swipe, draft preservation, Talk FAB, and settings UI tests passed","None recorded","No issue found","Passed — bottom pill removed, drawer is sole switcher (JOV-3670)","2026-07-02","JOV-3670"
"IOS-007","Profile","Dashboard QR, URL, copy, and share","As a ready creator, I want my public profile QR and URL ready to share from the app.","DashboardView shows avatar/name, a square QR footprint, public URL text, Copy URL with temporary Copied state, ShareLink, and skeletons that mirror loaded layout.","apps/ios/Jovie/Features/Dashboard/DashboardView.swift; apps/ios/Jovie/Core/QRCodeRenderer.swift","Always on for ready profiles; QR actions depend on qrPayload","QRCodeRendererTests; JovieUITests ready-launch assertions; JovieUITests.testCopyURLButtonShowsCopiedState","Passed: ready profile UI, QR renderer, and copied-state UI coverage passed","Copy URL copied-state test was previously skipped as a flaky UI assertion in JOV-1972","Stable accessibility identity added for the copy button; skip removed","Retest passed: focused copied-state UI test succeeded","2026-06-21","JOV-1972"
"IOS-008","Profile","Venue mode fullscreen QR","As a creator at an event, I want a fullscreen scannable QR that keeps the screen awake and bright.","Tapping the QR or launching venue mode presents VenueModeView full screen, raises brightness, disables idle timer, and restores settings on dismiss.","apps/ios/Jovie/Features/Dashboard/DashboardView.swift; apps/ios/Jovie/Features/Dashboard/VenueModeView.swift; apps/ios/Jovie/Core/ScreenBrightnessManager.swift","Always on when qrPayload exists","ScreenBrightnessManagerTests; JovieUITests.testVenueModeLaunchShowsFullscreenQR","Passed: fullscreen QR UI and brightness restore tests passed","None recorded","No issue found","Passed after JOV-3372 wrapper fix","2026-06-21","JOV-3372"
"IOS-009","Profile","Apple Wallet profile pass","As a creator with a Wallet pass available, I want to add my profile pass from the dashboard.","DashboardView shows Add to Apple Wallet only when appleWalletProfilePassAvailable is true and PassKit can add passes; tapping fetches pass data and presents the add-pass sheet or an error alert.","apps/ios/Jovie/Features/Dashboard/DashboardView.swift; apps/ios/Jovie/Core/APIClient.swift; apps/ios/Jovie/Core/MobileMeResponse.swift; apps/web/app/api/wallet/apple/profile-pass/route.ts","On when authenticated profile is complete, Apple Wallet signing config exists, and device supports PassKit; no rollout flag","APIClientTests.fetchesAppleWalletPassWithFreshTokenAfterUnauthorized; apps/web/tests/unit/api/wallet/apple-profile-pass-route.test.ts","Passed: wallet API client token-refresh test and web pass route tests passed; device PassKit sheet not exercised in simulator","None recorded","No issue found","Retest passed for API path; PassKit sheet remains simulator-limited","2026-06-21","JOV-3372"
"IOS-010","Chat","Native chat availability","As an internal v1 tester with a complete profile, I want Chat available without rollout flags or alpha copy.","RootView enables AppShellView Chat whenever a ready dashboard response is loaded; the iOS shell no longer uses a rollout flag or the MobileMeResponse.chatEnabled payload field for shell visibility; /api/mobile/v1/chat/turns still delegates directly after auth and request validation.","apps/ios/Jovie/App/RootView.swift; apps/ios/Jovie/Features/AppShell/AppShellView.swift; apps/ios/Jovie/Core/MobileMeResponse.swift; apps/web/lib/mobile/chat/access.ts; apps/web/app/api/mobile/v1/me/route.ts; apps/web/app/api/mobile/v1/chat/turns/route.ts","Forced on for loaded ready dashboard responses; auth and completed profile remain required; no alpha/runtime rollout gate","Updated focused web tests in JOV-3372 first slice","Passed: iOS chat tab UI, focused web mobile chat tests, typecheck, and promptfoo config validation passed","None recorded","Flags removed and alpha copy replaced","Retest passed after flag removal","2026-06-21","JOV-3372"
