Title,Description,Priority,Labels,Estimate
"Waitlist Email Notifications Never Sent","Users approved for the waitlist never receive email notifications. The buildWaitlistInviteEmail() function exists in /apps/web/lib/waitlist/invite.ts but is never called. The approval endpoint sends no email.",P0,bug;waitlist;email,3
"Waitlist Approval Frontend/Backend Status Mismatch","Frontend expects status 'invited' after approval but backend returns 'claimed'. Frontend (useApproveEntry.ts:40) expects inviteToken but backend never returns it.",P0,bug;waitlist;admin,1
"Missing Waitlist Invite Records & Claim Token Generation","Approval endpoint never creates waitlistInvites records or generates claim tokens. The /claim/{token} route has no data to process. Table exists in schema but is never populated.",P0,bug;waitlist;database,3
"Missing Waitlist Cron Job for Email Delivery","No cron job exists to process and send waitlist invite emails. Reference exists in validation schema but /api/cron/waitlist-invites route is missing.",P0,bug;waitlist;infrastructure,2
"Notifications Always Enabled Bug (|| true)","Logic error in useProfileShell.ts:46 - notificationsEnabled = forceNotificationsEnabled || true || forceNotifications. The || true makes this always true regardless of flags.",P1,bug;profile;quick-fix,0.5
"Missing Admin Verification Endpoint","Admins cannot verify creator profiles. isVerified field exists in profiles schema but no API endpoint to update it. Need POST /api/admin/verify-profile endpoint.",P1,feature;admin;verification,2
"OG Image is 62-byte Placeholder","Default Open Graph image at /public/og/default.png is only 62 bytes - a broken placeholder. Should be 1200x630px for proper social media previews.",P1,bug;seo;social,1
"Bio Field Missing from Profile Edit UI","Users cannot edit their bio through settings UI even though API supports it. Bio textarea missing from SettingsProfileSection.tsx component.",P1,bug;profile;ux,1
"Homepage Components Unnecessarily Client-Side","RedesignedHero, ProblemSection, InsightSection, WhatYouGetSection marked 'use client' but have no interactivity. Prevents SSR streaming and increases bundle size.",P2,performance;ssr;homepage,3
"Auth Gate Logic Scattered Across Codebase","Waitlist/auth gating duplicated in proxy-state.ts, app/layout.tsx, onboarding/page.tsx, claim/page.tsx instead of using centralized gate.ts. Risk of bypass.",P2,tech-debt;auth;security,3
"Script Bundle Near Capacity","JavaScript bundle at 1455KB of 1600KB budget (91%). Only 145KB headroom for new features. Need bundle analysis and optimization.",P2,performance;bundle-size,2
"Missing E2E Tests for Core Launch Flows","No E2E coverage for: Admin UI, profile editing, handle management race conditions, waitlist full flow, public profile SSR. Risk of regressions.",P1,testing;e2e;quality,5
"No Dynamic OG Images for User Profiles","User profile social shares show generic preview instead of personalized image with avatar and name. Need @vercel/og implementation.",P2,feature;seo;social,3
"Avatar URL Fetch Has 10s Timeout","Profile update blocks on avatar URL fetch with 10s timeout. Should reduce to 3-5s or make non-blocking with background processing.",P3,performance;profile,1
